cod_comuna,comuna,poblacion,conteo_establecimientos_salud,tasa_salud_10k,conteo_establecimientos_educacion,tasa_educacion_escolar_10k,conteo_establecimientos_educacion_superior,tasa_educacion_superior_10k,conteo_cuarteles_carabineros,tasa_carabineros_10k,conteo_companias_bomberos,tasa_bomberos_10k,conteo_paradas_metro_tren,tasa_metro_tren_10k,conteo_paradas_micro,tasa_micro_10k,conteo_infraestructura_deportiva,tasa_deporte_infra_10k,conteo_municipios,tasa_municipios_10k,conteo_ferias_libres,tasa_ferias_libres_10k,conteo_areas_verdes,tasa_areas_verdes_10k,conteo_osm_iglesias,tasa_iglesias_10k,conteo_osm_museos,tasa_museos_10k,conteo_osm_supermercados,tasa_supermercados_10k,conteo_osm_almacenes_barrio,tasa_almacenes_barrio_10k,conteo_osm_bancos,tasa_bancos_10k,conteo_osm_malls,tasa_malls_10k,conteo_osm_bencineras,tasa_bencineras_10k,conteo_osm_estadios,tasa_estadios_10k
13502,Alhué,7768,6,7.72399588053553,5,6.436663233779609,0,0.0,1,1.2873326467559216,1,1.2873326467559216,0,0.0,0,0.0,14,18.022657054582904,1,1.2873326467559216,0,0.0,1,1.2873326467559216,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
13402,Buin,116969,21,1.7953474852311295,49,4.189144132205969,3,0.25647821217587563,5,0.4274636869597928,5,0.4274636869597928,3,0.25647821217587563,0,0.0,89,7.6088536278843115,1,0.08549273739195855,3,0.25647821217587563,147,12.567432396617907,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,0.6839418991356684,0,0.0
13403,Calera de Tango,25491,4,1.5691812796673335,14,5.492134478835667,0,0.0,1,0.39229531991683336,2,0.7845906398336667,0,0.0,2,0.7845906398336667,30,11.768859597505001,1,0.39229531991683336,4,1.5691812796673335,27,10.591973637754501,10,3.922953199168334,0,0.0,5,1.961476599584167,6,2.3537719195010003,2,0.7845906398336667,0,0.0,4,1.5691812796673335,0,0.0
13102,Cerrillos,85041,10,1.1759033877776601,33,3.8804811796662784,2,0.23518067755553204,2,0.23518067755553204,1,0.11759033877776602,0,0.0,280,32.92529485777448,60,7.055420326665961,1,0.11759033877776602,6,0.7055420326665961,208,24.458790465775333,22,2.586987453110852,2,0.23518067755553204,8,0.9407227102221282,24,2.8221681306663844,10,1.1759033877776601,1,0.11759033877776602,10,1.1759033877776601,0,0.0
13103,Cerro Navia,127250,10,0.7858546168958742,49,3.850687622789784,0,0.0,1,0.07858546168958742,2,0.15717092337917485,0,0.0,261,20.51080550098232,120,9.430255402750491,1,0.07858546168958742,10,0.7858546168958742,225,17.68172888015717,13,1.0216110019646365,0,0.0,2,0.15717092337917485,36,2.8290766208251474,2,0.15717092337917485,0,0.0,2,0.15717092337917485,0,0.0
13301,Colina,173293,17,0.9809975013416584,69,3.981695740739672,1,0.057705735373038726,3,0.17311720611911618,3,0.17311720611911618,0,0.0,0,0.0,80,4.616458829843098,1,0.057705735373038726,3,0.17311720611911618,29,1.673466325818123,5,0.2885286768651936,0,0.0,2,0.11541147074607745,12,0.6924688244764647,3,0.17311720611911618,2,0.11541147074607745,18,1.038703236714697,0,0.0
13104,Conchalí,121587,13,1.06919325256812,59,4.852492453963006,1,0.0822456348129323,3,0.24673690443879692,4,0.3289825392517292,0,0.0,323,26.565340044577137,87,7.1553702287251095,1,0.0822456348129323,11,0.9047019829422552,458,37.668500744323,29,2.3851234095750367,0,0.0,10,0.8224563481293231,10,0.8224563481293231,7,0.5757194436905261,0,0.0,9,0.7402107133163907,0,0.0
13503,Curacaví,35165,3,0.8531210009953079,20,5.687473339968719,0,0.0,2,0.5687473339968719,2,0.5687473339968719,0,0.0,0,0.0,51,14.503057016920232,1,0.28437366699843597,2,0.5687473339968719,43,12.228067680932746,2,0.5687473339968719,2,0.5687473339968719,4,1.1374946679937439,3,0.8531210009953079,1,0.28437366699843597,0,0.0,3,0.8531210009953079,0,0.0
13105,El Bosque,155257,15,0.9661400130106855,92,5.925658746465538,1,0.06440933420071236,2,0.12881866840142472,2,0.12881866840142472,2,0.12881866840142472,271,17.45492956839305,174,11.20722415092395,1,0.06440933420071236,10,0.6440933420071236,48,3.0916480416341936,28,1.8034613576199463,0,0.0,6,0.3864560052042742,53,3.4136947126377555,5,0.3220466710035618,1,0.06440933420071236,7,0.4508653394049866,0,0.0
13602,El Monte,37497,3,0.8000640051204096,24,6.400512040963277,0,0.0,3,0.8000640051204096,2,0.5333760034136065,0,0.0,0,0.0,53,14.13446409046057,1,0.26668800170680323,0,0.0,34,9.06739205803131,0,0.0,0,0.0,2,0.5333760034136065,0,0.0,0,0.0,0,0.0,2,0.5333760034136065,0,0.0
