cod_comuna,comuna,almacenes_barrio,areas_verdes,bancos,bencineras,bomberos,carabineros,deporte_infra,educacion_escolar,educacion_superior,estadios,ferias_libres,iglesias,malls,metro_tren,micro,municipios,museos,salud,supermercados,cluster,es_desierto_almacenes_barrio,es_desierto_areas_verdes,es_desierto_bancos,es_desierto_bencineras,es_desierto_bomberos,es_desierto_carabineros,es_desierto_deporte_infra,es_desierto_educacion_escolar,es_desierto_educacion_superior,es_desierto_estadios,es_desierto_ferias_libres,es_desierto_iglesias,es_desierto_malls,es_desierto_metro_tren,es_desierto_micro,es_desierto_municipios,es_desierto_museos,es_desierto_salud,es_desierto_supermercados,n_servicios_en_desierto,porcentaje_desierto
13130,San Miguel,5.066666666666666,8.216666666666667,3.6166666666666663,8.966666666666667,14.566666666666666,18.28333333333333,5.683333333333334,7.883333333333334,12.783333333333331,,18.45,9.55,23.6,,5.3,23.716666666666665,,4.433333333333334,12.666666666666666,1,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,3,15.789473684210526
13118,Macul,2.9,2.683333333333333,7.35,2.433333333333333,10.866666666666667,14.5,5.883333333333334,7.083333333333333,19.58333333333333,,17.616666666666667,3.2,,,1.25,11.566666666666666,20.633333333333333,10.633333333333333,13.533333333333331,3,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,3,15.789473684210526
13119,Maipú,34.95,31.65,,,24.5,29.05,23.25,22.766666666666666,,,29.633333333333333,21.53333333333333,,,4.1,,,26.05,18.933333333333334,2,True,True,True,True,False,False,False,False,True,True,False,False,True,True,False,True,True,False,False,10,52.63157894736842
13123,Providencia,2.716666666666667,6.066666666666666,7.066666666666666,2.85,14.233333333333333,13.166666666666666,6.7,4.866666666666666,3.9166666666666665,,,7.716666666666667,15.283333333333331,,0.8333333333333334,5.0,15.3,3.4,7.433333333333334,3,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,3,15.789473684210526
13131,San Ramón,9.033333333333331,4.183333333333334,13.216666666666669,10.366666666666667,15.566666666666666,11.966666666666669,6.85,5.65,,15.266666666666667,4.316666666666666,6.716666666666667,,,1.8,6.316666666666666,,4.916666666666667,9.633333333333333,1,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,4,21.052631578947366
13120,Ñuñoa,2.7,5.316666666666666,5.966666666666667,4.35,17.166666666666668,36.81666666666667,0.8833333333333333,1.9833333333333332,5.8,25.6,11.7,5.816666666666666,14.266666666666667,,3.216666666666667,13.116666666666667,8.333333333333334,4.983333333333333,9.366666666666667,3,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,2,10.526315789473683
13603,Isla de Maipo,,,,,,,,,,,,,,,,,,,,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,19,100.0
13601,Talagante,,77.61666666666666,,,,,,,,,,,,,,,,,,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,19,100.0
13102,Cerrillos,8.766666666666667,3.566666666666667,13.5,7.233333333333333,13.383333333333333,30.316666666666663,2.833333333333333,3.8,13.916666666666666,39.083333333333336,7.666666666666667,11.75,,,2.4166666666666665,26.933333333333334,17.55,7.333333333333333,25.716666666666665,3,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False,4,21.052631578947366
13113,La Reina,8.266666666666667,6.85,15.95,10.35,13.9,16.933333333333334,8.966666666666667,16.333333333333332,27.916666666666668,40.91666666666666,22.1,5.466666666666667,,,4.883333333333334,26.366666666666667,,21.216666666666665,15.95,1,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,4,21.052631578947366
